DCA License Number,License Type,License Expiration Date,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough,Borough Code
0932155-DCA,Business,2025-03-31,301 PARK CORP.,,301,E 64TH ST,,NEW YORK,NY,10065,2124730135,Manhattan,1
1439430-DCA,Business,2025-03-31,CHAMPION PARKING 90 LLC,,60,E 90TH ST,,NEW YORK,NY,10128,2123085959,Manhattan,1
2032379-DCA,Business,2025-03-31,WEST 161ST PARKING CORP,,519,W 161ST ST,,NEW YORK,NY,10032,6469283465,Manhattan,1
1192930-DCA,Business,2025-03-31,QUIK PARK SWIFT LLC,,140,E 56TH ST,,NEW YORK,NY,10022,2128322066,Manhattan,1
0904077-DCA,Business,2025-03-31,"FIELD LAGUARDIA ASSOCIATES, INC.",HOLIDAY INN CROWN PLAZA,10404,DITMARS BLVD,,EAST ELMHURST,NY,11369,7184576300,Queens,4
2090586-DCA,Business,2025-03-31,A & J PARKING LLC,,1035,ANDERSON AVE,,BRONX,NY,10452,9143143157,Bronx,2
1130687-DCA,Business,2025-03-31,165 EAST PARKING CORP.,,165,E 72ND ST,,NEW YORK,NY,10021,2127367171,Manhattan,1
1283824-DCA,Business,2025-03-31,CHAMPION PARKING 74 LLC.,,2109,BROADWAY,,NEW YORK,NY,10023,2123085959,Manhattan,1
1030045-DCA,Business,2025-03-31,"BATTERY PLACE CAR PARK, LLC",GGMC,50,BATTERY PL,,NEW YORK,NY,10280,2129966363,Manhattan,1
2083100-DCA,Business,2025-03-31,ISABEL PARKING LLC,,30,E 161ST ST,,BRONX,NY,10451,6465840409,Bronx,2
0984363-DCA,Business,2025-03-31,520 WEST PARKING CORP.,,520,W 43RD ST,,NEW YORK,NY,10036,2127367171,Manhattan,1
1308597-DCA,Business,2025-03-31,"HOME HOSPITAL PARKING, LLC",,2621,AQUEDUCT AVE,,BRONX,NY,10468,2126279822,Bronx,2
2018213-DCA,Business,2025-03-31,106 Mott Street Parking Corp,,106,MOTT ST,,NEW YORK,NY,10013,2127419009,Manhattan,1
1473819-DCA,Business,2025-03-31,181 PARK CORP.,,506,W 181ST ST,,NEW YORK,NY,10033,2129299404,Manhattan,1
2018861-DCA,Business,2025-03-31,776 SIXTH AVE PARKING CORP,,776,6TH AVE,,NEW YORK,NY,10001,2127367171,Manhattan,1
2104125-DCA,Business,2025-03-31,9-11 PARK MANAGEMENT LLC,,9,PARK AVE,,NEW YORK,NY,10016,6469644323,Manhattan,1
2017912-DCA,Business,2025-03-31,SP PLUS CORPORATION,,455,MADISON AVE,,NEW YORK,NY,10022,2125025490,Manhattan,1
2098312-DCA,Business,2025-03-31,208 WEST 88TH STREET PARKING CORP.,,209,W 88TH ST,,NEW YORK,NY,10024,2127367171,Manhattan,1
1010570-DCA,Business,2025-03-31,UNION SQUARE CAR PARK LLC,GGMC,1,IRVING PL,,NEW YORK,NY,10003,2129966363,Manhattan,1
2102636-DCA,Business,2025-03-31,107 PARK OPS LLC,,102,W 107TH ST,,NEW YORK,NY,10025,9177838974,Manhattan,1
2053019-DCA,Business,2025-03-31,COLUMBUS 95 PARKING LLC,,730,COLUMBUS AVE,,NEW YORK,NY,10025,2126869800,Manhattan,1
2046932-DCA,Business,2025-03-31,167 EAST 77TH ST PARKING SERVICES LLC,,176,E 77TH ST,,NEW YORK,NY,10075,6467734400,Manhattan,1
2101166-DCA,Business,2025-03-31,CHAMPION PARKING YORK LLC,,1514-1520,YORK AVE,,NEW YORK,NY,10028,2123085959,Manhattan,1
1413026-DCA,Business,2025-03-31,420 EAST 51ST PARKING PARTNERS LLC,,420,E 51ST ST,,NEW YORK,NY,10022,2128387565,Manhattan,1
2109883-DCA,Business,2025-03-31,ADD PARK INC,,123,HOPE ST,,BROOKLYN,NY,11211,9174705093,Brooklyn,3
2102165-DCA,Business,2025-03-31,"IMPERIAL PARKING (U.S.), LLC",,184,KENT AVE,,BROOKLYN,NY,11249,3472733569,Brooklyn,3
2016720-DCA,Business,2025-03-31,MONTAGUE PARKING LLC,,180,MONTAGUE ST,,BROOKLYN,NY,11201,2126869800,Brooklyn,3
0368157-DCA,Business,2025-03-31,EFFECTIVE PARKING LLC,,435,W 57TH ST,,NEW YORK,NY,10019,2126869800,Manhattan,1
1376342-DCA,Business,2025-03-31,QUIK PARK EAST 73RD ST LLC,,524,E 73RD ST,,NEW YORK,NY,10021,2126869800,Manhattan,1
1317191-DCA,Business,2025-03-31,QUIK PARK CHESAPEAKE LLC,,400,E 81ST ST,,NEW YORK,NY,10028,2128322066,Manhattan,1
1180717-DCA,Business,2025-03-31,118 PARKING CORP.,,1682,PARK AVE,,NEW YORK,NY,10035,2127367171,Manhattan,1
2107689-DCA,Business,2025-03-31,NEW 786 NY PARKING CORP,,14238,37TH AVE,,FLUSHING,NY,11354,7186180276,Queens,4
2115077-DCA,Business,2025-03-31,"LAZ PARKING NEW YORK/NEW JERSEY, LLC",,185,PACIFIC ST,,BROOKLYN,NY,11201,7184072575,Brooklyn,3
0429675-DCA,Business,2025-03-31,INTERTOWN PARKING CORP.,,55,E END AVE,,NEW YORK,NY,10028,2127367171,Manhattan,1
2054449-DCA,Business,2025-03-31,PROPARK AMERICA NEW YORK LLC,,11045,QUEENS BLVD,,FOREST HILLS,NY,11375,5169289767,Queens,4
2111188-DCA,Business,2025-03-31,PROPARK AMERICA NEW YORK LLC,,139,CHARLES STREET,,NEW YORK,NY,10014,5169289767,Manhattan,1
1283493-DCA,Business,2025-03-31,KIPS BAY 27 PARKING LLC,,236,E 27TH ST,,NEW YORK,NY,10016,2126869800,Manhattan,1
2114995-DCA,Business,2025-03-31,"LAZ PARKING NEW YORK/NEW JERSEY, LLC",,70,E 10TH ST,,NEW YORK,NY,10003,7184072575,Manhattan,1
2089161-DCA,Business,2025-03-31,WEST 30TH GARAGE LLC,,363,W 30TH ST,,NEW YORK,NY,10001,6409644323,Manhattan,1
1327024-DCA,Business,2025-03-31,CONCOURSE PARKING CORP.,,800,GRAND CONCOURSE,,BRONX,NY,10451,2127367171,Bronx,2
1146395-DCA,Business,2025-03-31,REGAL PARKING CORP.,,9810,64TH AVE,,REGO PARK,NY,11374,2127367171,Queens,4
2088828-DCA,Business,2025-03-31,30-40-60 GARAGE LLC,,40,E 9TH ST,,NEW YORK,NY,10003,6469644323,Manhattan,1
0927032-DCA,Business,2025-03-31,150 EAST 77TH STREET PARKING CORP.,,150,E 77TH ST,,NEW YORK,NY,10075,2127367171,Manhattan,1
2113394-DCA,Business,2025-03-31,1134 FULTON PARKING CORP,,1134,FULTON ST,,BROOKLYN,NY,11216,9176643792,Brooklyn,3
2101038-DCA,Business,2025-03-31,VIP PARKING INC.,,615,JACKSON AVE,,BRONX,NY,10455,3472207660,Bronx,2
2082737-DCA,Business,2025-03-31,ABM INDUSTRY GROUPS LLC,ABM PARKING SERVICES,475,PARK AVE S,,NEW YORK,NY,10016,9145255897,Manhattan,1
2097391-DCA,Business,2025-03-31,301 EAST 22ND STREET PARKING CORP.,,301,E 22ND ST,,NEW YORK,NY,10010,2127367171,Manhattan,1
1178703-DCA,Business,2025-03-31,PARK KWIK LLC,,211,ATLANTIC AVE,,BROOKLYN,NY,11201,7182222500,Brooklyn,3
0367816-DCA,Business,2025-03-31,"PARK-SERV, INC.",,140-166,W 53RD ST,,NEW YORK,NY,10019,2126869800,Manhattan,1
1387896-DCA,Business,2025-03-31,3480 THIRD AVENUE PARKING INC.,,3480,3RD AVE,,BRONX,NY,10456,3472844141,Bronx,2
2101646-DCA,Business,2025-03-31,80 PARK GARAGE MGMT LLC,,74-82,PARK AVE,,NEW YORK,NY,10016,212-289-7200,Manhattan,1
0899744-DCA,Business,2025-03-31,COSMOPOLITAN PARKING CORP.,SAA,34,E 21ST ST,,NEW YORK,NY,10010,2122493344,Manhattan,1
1222882-DCA,Business,2025-03-31,"50 EAST 79TH STREET CAR PARK, LLC",GGMC,50,E 79TH ST,,NEW YORK,NY,10075,2128790670,Manhattan,1
0888537-DCA,Business,2025-03-31,SAFEWAY PARKING CORP.,,345,E 86TH ST,,NEW YORK,NY,10028,2124109603,Manhattan,1
2115151-DCA,Business,2025-03-31,333 EAST 34TH GARAGE LLC,,333,E 34TH ST,,NEW YORK,NY,10016,212-289-7200,Manhattan,1
2001043-DCA,Business,2025-03-31,UPPER MANHATTAN PARKING LLC,,1845,PARK AVE,,NEW YORK,NY,10035,2124211117,Manhattan,1
2054793-DCA,Business,2025-03-31,SP PLUS CORPORATION,,1292,PARK AVE,,NEW YORK,NY,10029,2125025490,Manhattan,1
2101647-DCA,Business,2025-03-31,CPW GARAGE LLC,,455,CENTRAL PARK W,,NEW YORK,NY,10025,2122897200,Manhattan,1
0368238-DCA,Business,2025-03-31,NEW YORK PARKING 56TH ST. CORP,,65,W 56TH ST,,NEW YORK,NY,10019,2123085959,Manhattan,1
1251169-DCA,Business,2025-03-31,315 EAST 65TH PARKING LLC,,322,E 66TH ST,,NEW YORK,NY,10065,212-570-1732,Manhattan,1
0906120-DCA,Business,2025-03-31,OXFORD PARKING CORP.,,333,E 49TH ST,,NEW YORK,NY,10017,212-308-5959,Manhattan,1
2114767-DCA,Business,2025-03-31,Rego Center Garage LLC,,9605,queens blvd,,REGO PARK,NY,11374,2128947000,Queens,4
0367984-DCA,Business,2025-03-31,DISTINCTIVE PARKING LLC,,35,E 61ST ST,,NEW YORK,NY,10065,212-686-9800,Manhattan,1
2093765-DCA,Business,2025-03-31,SUPPORT PARKING LLC,,350,E 52ND ST,,NEW YORK,NY,10022,2126869800,Manhattan,1
2105919-DCA,Business,2025-03-31,LTG PARKING CORP.,,165,W END AVE,,NEW YORK,NY,10023,212-686-9800,Manhattan,1
2043391-DCA,Business,2025-03-31,AZ Parking Corp.,,35,W 33RD ST,,NEW YORK,NY,10001,9292940009,Manhattan,1
2059649-DCA,Business,2025-03-31,SMITH & LIVINGSTON PARKING LLC,,141,LIVINGSTON ST,,BROOKLYN,NY,11201,212-686-9800,Brooklyn,3
1312446-DCA,Business,2025-03-31,STELLMAR PARKING LLC,,27,E 65TH ST,,NEW YORK,NY,10065,212-879-8798,Manhattan,1
2115139-DCA,Business,2025-03-31,MP WEST 95 PARKING LLC,,70,W 95TH ST,,NEW YORK,NY,10025,2124903460,Manhattan,1
2083153-DCA,Business,2025-03-31,EZ EXPRESS PARKING CORP.,,1560,JEROME AVE,,BRONX,NY,10452,7185833301,Bronx,2
2080975-DCA,Business,2025-03-31,900 8TH AVENUE GARAGE LLC,,900,8TH AVE,,NEW YORK,NY,10019,6465840409,Manhattan,1
2096915-DCA,Business,2025-03-31,"IMPERIAL PARKING (U.S.), LLC",,9605,QUEENS BLVD,,REGO PARK,NY,11374,2129378660,Queens,4
2079755-DCA,Business,2025-03-31,MP 425 EAST LLC,,425,E 79TH ST,,NEW YORK,NY,10075,2124903460,Manhattan,1
1461273-DCA,Business,2025-03-31,"IMPERIAL PARKING (U.S.), LLC",IMPARK,724-732,AVENUE OF THE AMERICAS,,NEW YORK,NY,10010,2129378660,Manhattan,1
2055928-DCA,Business,2025-03-31,SP PLUS CORPORATION,,9844,57TH AVE,,CORONA,NY,11368,2125025490,Queens,4
2001457-DCA,Business,2025-03-31,CHAMPION PARKING MIDTOWN LLC,,224,E 39TH ST,,NEW YORK,NY,10016,212-308-5959,Manhattan,1
1213869-DCA,Business,2025-03-31,BROADWAY & 64TH PARKING LLC,ICON PARKING,1900,BROADWAY,,NEW YORK,NY,10023,212-686-9800,Manhattan,1
2069414-DCA,Business,2025-03-31,RIVER PARK TOWERS GARAGE LLC,,55,RICHMAN PLZ,,BRONX,NY,10453,6465840409,Bronx,2
2094858-DCA,Business,2025-03-31,PPS STANWIX LLC,,115,STANWIX ST,,BROOKLYN,NY,11206,2123606300,Brooklyn,3
1370726-DCA,Business,2025-03-31,"BAS PARKING, INC.",,530,E 72ND ST,,NEW YORK,NY,10021,2126289447,Manhattan,1
2103702-DCA,Business,2025-03-31,350 WEST 42ND STREET PARKING CORP.,,350,W 42ND ST,,NEW YORK,NY,10036,2127367171,Manhattan,1
1093313-DCA,Business,2025-03-31,CHAMPION PARKING 57 LLC,,316,W 57TH ST,,NEW YORK,NY,10019,2123085959,Manhattan,1
1461250-DCA,Business,2025-03-31,"IMPERIAL PARKING (U.S.), LLC",IMPARK,89-35,162ND ST,,JAMAICA,NY,11432,2129378660,Queens,4
2107054-DCA,Business,2025-03-31,"COVE CLUB CAR PARK, LLC",GGMC,2,S END AVE,,NEW YORK,NY,10280,2129966363,Manhattan,1
0368705-DCA,Business,2025-03-31,AMBER PARK LLC,,101,E 13TH ST,,NEW YORK,NY,10003,2126869800,Manhattan,1
2102371-DCA,Business,2025-03-31,1623 YORK AVENUE PARKING CORP,,1621,YORK AVE,,NEW YORK,NY,10028,2127367171,Manhattan,1
2103294-DCA,Business,2025-03-31,"ONE PARKING GOTHAM, INC.",,4209,28TH ST,,LONG ISLAND CITY,NY,11101,4802722100,Queens,4
1461227-DCA,Business,2025-03-31,"IMPERIAL PARKING (U.S.), LLC",IMPARK,92-30,165TH ST,,JAMAICA,NY,11433,3472733569,Queens,4
2099103-DCA,Business,2025-03-31,EMBASSY GARAGE PARKING PARTNERS LLC,EMBASSY GARAGE,120,E 81ST ST,,NEW YORK,NY,10028,2127440868,Manhattan,1
0901088-DCA,Business,2025-03-31,LTG PARKING CORP.,,150,W END AVE,,NEW YORK,NY,10023,212-686-9800,Manhattan,1
1204173-DCA,Business,2025-03-31,TUNNEL 34 PARKING LLC,,222,E 34TH ST,,NEW YORK,NY,10016,2126869800,Manhattan,1
1319920-DCA,Business,2025-03-31,TOWNHOUSE PARKING LLC,,177,E 73RD ST,,NEW YORK,NY,10021,2122881798,Manhattan,1
2105057-DCA,Business,2025-03-31,MP WEST END PARKING LLC,,55,W END AVE,,NEW YORK,NY,10023,2124903460,Manhattan,1
2009446-DCA,Business,2025-03-31,"CARLYLE CAR PARK, LLC",,53,E 76TH ST,,NEW YORK,NY,10021,2125702182,Manhattan,1
1076826-DCA,Business,2025-03-31,"300 EAST 74TH STREET CAR PARK, LLC",GGMC,300,E 74TH ST,,NEW YORK,NY,10021,2129966363,Manhattan,1
2044842-DCA,Business,2025-03-31,333 EAST 75TH STREET PARKING CORP.,,333,E 75TH ST,,NEW YORK,NY,10021,2127367171,Manhattan,1
2030397-DCA,Business,2025-03-31,"RUPPERT CAR PARK, LLC",,1601,3RD AVE,,NEW YORK,NY,10128,2129966363,Manhattan,1
2055914-DCA,Business,2025-03-31,560 W 43RD STREET PARKING CORP,,555,W 42ND ST,,NEW YORK,NY,10036,9174727056,Manhattan,1
0908745-DCA,Business,2025-03-31,CHAMPION PARKING 77TH ST. CORP.,,49,E 77TH ST,,NEW YORK,NY,10075,2123085959,Manhattan,1
1157180-DCA,Business,2025-03-31,"ALFRED CAR PARK, LLC",GGMC,161,W 61ST ST,,NEW YORK,NY,10023,2129966363,Manhattan,1
1462009-DCA,Business,2025-03-31,"IMPERIAL PARKING (U.S.), LLC",IMPARK,750,AVENUE OF THE AMERICAS,,NEW YORK,NY,10010,2129378660,Manhattan,1
2058615-DCA,Business,2025-03-31,"IMPERIAL PARKING (U.S.), LLC",IMpark,150,NASSAU ST,,NEW YORK,NY,10038,212-937-8660,Manhattan,1
1184264-DCA,Business,2025-03-31,ICE HOUSE PARKING CORP.,,27,N MOORE ST,,NEW YORK,NY,10013,2129299404,Manhattan,1
2099960-DCA,Business,2025-03-31,4162 GARAGE MGMT LLC,,4162,BROADWAY,,NEW YORK,NY,10033,212-289-7200,Manhattan,1
2001881-DCA,Business,2025-03-31,"LAUREATE GARAGE, LLC",,2148,BROADWAY,,NEW YORK,NY,10023,2127502056,Manhattan,1
1460793-DCA,Business,2025-03-31,LTG PARKING CORP.,,205,W END AVE,,NEW YORK,NY,10023,2126869800,Manhattan,1
1440019-DCA,Business,2025-02-28,"SZYMANSKI, THOMAS STANLEY",EAZYLIFT GARAGE DOOR COMPANY,13220,81ST ST,,OZONE PARK,NY,11417,7186419788,Queens,4
0913526-DCA,Business,2025-03-31,CHAMPION PARKING 83RD ST CORP,CHAMPION PARKING 83RD ST,303,E 83RD ST,,NEW YORK,NY,10028,212-308-5959,Manhattan,1
1233571-DCA,Business,2025-03-31,8TH STREET PARKING LLC,,11,5TH AVE,,NEW YORK,NY,10003,2126869800,Manhattan,1
1247021-DCA,Business,2025-03-31,GRAMERCY 24 PARKING LLC,,401,2ND AVE,,NEW YORK,NY,10010,2126869800,Manhattan,1
0469761-DCA,Business,2025-03-31,INTEGRITY PARKING LLC,,315,E 72ND ST,,NEW YORK,NY,10021,2126869800,Manhattan,1
0429690-DCA,Business,2025-03-31,"MUTUAL PARKING, INC.",,605,E 82ND ST,,NEW YORK,NY,10028,2128887400,Manhattan,1
2100843-DCA,Business,2025-03-31,Champion Valet Parking LLC,,10,W 15TH ST,,NEW YORK,NY,10011,212-308-5959,Manhattan,1
1103762-DCA,Business,2025-03-31,SHERMAN PARKING INC.,,210,SHERMAN AVE,,NEW YORK,NY,10034,2125447275,Manhattan,1
2101445-DCA,Business,2025-03-31,NY PARKING 57 LLC,,110,E 57TH ST,,NEW YORK,NY,10022,212-308-5959,Manhattan,1
1010039-DCA,Business,2025-03-31,300 PARKING INC.,,300,W 55TH ST,,NEW YORK,NY,10019,2127367171,Manhattan,1
2076559-DCA,Business,2025-03-31,THE CAR PARK OF NEW YORK LLC,,8036,COOPER AVE,,GLENDALE,NY,11385,208-336-6597,Queens,4
1058507-DCA,Business,2025-03-31,53RD PARKING CORP.,,301,W 53RD ST,,NEW YORK,NY,10019,2127367171,Manhattan,1
1460563-DCA,Business,2025-03-31,LTG PARKING CORP.,,185,W END AVE,,NEW YORK,NY,10023,2126869800,Manhattan,1
0368199-DCA,Business,2025-03-31,"MUTUAL PARKING, INC.",,61,E END AVE,,NEW YORK,NY,10028,2128887400,Manhattan,1
2103292-DCA,Business,2025-03-31,"ONE PARKING 709, INC.",,2830,JACKSON AVE,,LONG ISLAND CITY,NY,11101,5618337222,Queens,4
1420789-DCA,Business,2025-03-31,CHAMPION PARKING 82 LLC,,60,E END AVE,,NEW YORK,NY,10028,212-308-5959,Manhattan,1
2017911-DCA,Business,2025-03-31,SP PLUS CORPORATION,,375,PARK AVE,,NEW YORK,NY,10152,2125025490,Manhattan,1
2106005-DCA,Business,2025-03-31,QUIK PARK HUDSON VI LLC,,40,RIVERSIDE BLVD,,NEW YORK,NY,10069,212-686-9800,Manhattan,1
2003108-DCA,Business,2025-03-31,BEAVER STREET PARKING LLC,,15,WILLIAM ST,,NEW YORK,NY,10004,212-785-9733,Manhattan,1
0761016-DCA,Business,2025-03-31,64TH WEST END PARKING LLC,,110,W END AVE,,NEW YORK,NY,10023,2126869800,Manhattan,1
2091664-DCA,Business,2025-03-31,TRUST UNDER WILL OF IRVING SERVANSKY,210 India Parking,210,INDIA ST,,BROOKLYN,NY,11222,6175476500,Brooklyn,3
1232880-DCA,Business,2025-03-31,MURRAY 38 PARKING LLC,,155,E 38TH ST,,NEW YORK,NY,10016,2126869800,Manhattan,1
2099962-DCA,Business,2025-03-31,ELEMENT GARAGE MGMT LLC,,555,W 59TH ST,,NEW YORK,NY,10019,212-289-7200,Manhattan,1
2097161-DCA,Business,2025-03-31,CHAMPION PARKING CPW LLC,,225,CENTRAL PARK W,,NEW YORK,NY,10024,,Manhattan,1
1312449-DCA,Business,2025-03-31,STELLMAR PARKING LLC,,30,E 65TH ST,,NEW YORK,NY,10065,212-879-8798,Manhattan,1
0760802-DCA,Business,2025-03-31,MERIT PARKING LLC,,12,E 107TH ST,,NEW YORK,NY,10029,2126869800,Manhattan,1
1341242-DCA,Business,2025-03-31,605 PARKING CORP.,,605,PARK AVE,,NEW YORK,NY,10065,2127367171,Manhattan,1
2093300-DCA,Business,2025-03-31,MP LINCOLN SQUARE PARKING LLC,,143,W 68TH ST,,NEW YORK,NY,10023,2124903460,Manhattan,1
0924489-DCA,Business,2025-03-31,CHAMPION BROADWAY PARKING CORP,,60,E 8TH ST,,NEW YORK,NY,10003,212-308-5959,Manhattan,1
2105668-DCA,Business,2025-03-31,ARENA PARKING LLC,ARENA PARKING,700,PACIFIC ST,,BROOKLYN,NY,11217,9175668422,Brooklyn,3
2109749-DCA,Business,2025-03-31,GMH PARK INC,,763,CONCOURSE VLG W,,BRONX,NY,10451,9172140583,Bronx,2
2050301-DCA,Business,2025-03-31,10 WEST 66TH STREET CAR PARK LLC,GGMC,10,W 66TH ST,,NEW YORK,NY,10023,2129966363,Manhattan,1
1400052-DCA,Business,2025-03-31,SHERMAN PARKING SYSTEMS INC.,,361,E 161ST ST,,BRONX,NY,10451,9149601795,Bronx,2
2103110-DCA,Business,2025-03-31,"IMPERIAL PARKING (U.S.), LLC",,135,N 11TH ST,,BROOKLYN,NY,11249,3472733569,Brooklyn,3
2098157-DCA,Business,2025-03-31,257 GOLD STREET PARKING CORP.,,235,GOLD ST,,BROOKLYN,NY,11201,2127367171,Brooklyn,3
1076844-DCA,Business,2025-03-31,"CARNEGIE CAR PARK, INC.",GGMC,40,E 94TH ST,,NEW YORK,NY,10128,2129966363,Manhattan,1
1122008-DCA,Business,2025-03-31,CHAMPION PARKING 75 LLC,,370,E 76TH ST,,NEW YORK,NY,10021,2123085959,Manhattan,1
2092453-DCA,Business,2025-03-31,5 STARS PARKING INC,,120,UNION AVE,,BROOKLYN,NY,11206,9172140583,Brooklyn,3
0920608-DCA,Business,2025-03-31,CAROUSEL PARKING CORP,,201,W 75TH ST,,NEW YORK,NY,10023,2123085959,Manhattan,1
